Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18606562977.0,19682883149.0,19922563188.0,21539843446.0,23801123808.0,25976164156.0,27307844369.0,30442724871.0,32714085234.0,36683365869.0,41333606613.0,45216647235.0,52040887850.0,63830877643.0,88963890936.0,97303017889.0,105059000000.0,110350000000.0,118492000000.0,134898000000.0,149986000000.0,176893000000.0,194038000000.0,177265000000.0,193519000000.0,180637000000.0,182476000000.0,189487000000.0,236154000000.0,299872000000.0,311421000000.0,325967000000.0,325518000000.0,312128000000.0,322802000000.0,368166000000.0,401342000000.0,435643000000.0,399674000000.0,389652000000.0,416168000000.0,379629000000.0,395789000000.0,467739000000.0,614660000000.0,695693000000.0,748418000000.0,855007000000.0,1056110000000.0,928762000000.0,1148890000000.0,1398700000000.0,1547650000000.0,1577300000000.0,1468600000000.0,1351770000000.0,1207580000000.0,1326880000000.0,1429730000000.0,1394670000000.0,1330380000000.0,1559030000000.0,1692960000000.0,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841.0,7311749633.0,7756110210.0,8374175258.0,9169983886.0,9994070616.0,10887682273.0,11579431669.0,12440625313.0,13582798556.0,15373005557.0,17858486067.0,22059612477.0,29515467707.0,35189299912.0,40059206763.0,42959976222.0,51545758888.0,62052259073.0,73937296963.0,82058912997.0,71034228443.0,71275287570.0,72121016547.0,67985344887.0,69386774408.0,99036164939.0,124168000000.0,133339000000.0,133106000000.0,166463000000.0,173794000000.0,195078000000.0,190380000000.0,203535000000.0,241038000000.0,237251000000.0,212790000000.0,218260000000.0,217259000000.0,197290000000.0,197509000000.0,214395000000.0,262274000000.0,301458000000.0,316092000000.0,336280000000.0,389186000000.0,432052000000.0,401759000000.0,392275000000.0,431685000000.0,409402000000.0,430191000000.0,442585000000.0,381971000000.0,395837000000.0,417261000000.0,454991000000.0,444596000000.0,435049000000.0,479295000000.0,470942000000.0,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884848485.0,5344000000.0,444658671.6,1570392598.0,1193141110.0,2417331193.0,3176507376.0,3962362387.0,4446368571.0,4581248567.0,5272615723.0,5707616204.0,6236087738.0,7276413079.0,8680405741.0,13245421881.0,20981929498.0,33049419431.0,48851293785.0,44292427185.0,52909294792.0,65952796428.0,69679944504.0,74160560124.0,75239785452.0,53076235355.0,37866996883.0,40866627352.0,47112470052.0,48174235294.0,42693000000.0,54825411765.0,78721058824.0,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994963.0,165444571.4,178297142.9,183200000.0,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222.0,1082926304.0,987143931.2,1149979286.0,1201725497.0,1131466494.0,1082403219.0,1113924130.0,1132101253.0,1167398478.0,1083037671.0,938632612.0,925030590.2,1000428394.0,869033856.3,972896267.9,893770740.2,808077223.4,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113080.0,1273375078.0,1356199387.0,1611835857.0,1781455140.0,2032135192.0,2235820809.0,2333341334.0,2451606632.0,2705783330.0,3104003546.0,2644487777.0,2723586963.0,2667182200.0,2576518880.0,2649680261.0,2775798697.0,3338722828.0,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591.0,12400145222.0,13264015675.0,14260017387.0,15960106681.0,17371457608.0,18651883472.0,19992040788.0,21376353113.0,23710735895.0,26706196047.0,29821661870.0,37209418019.0,47743801490.0,56033077879.0,65678189097.0,71113882968.0,82839905459.0,101247000000.0,116315000000.0,126829000000.0,104730000000.0,92095926188.0,87184239053.0,83349530159.0,86268264148.0,120019000000.0,149394000000.0,162299000000.0,164221000000.0,205332000000.0,210511000000.0,234782000000.0,224722000000.0,244884000000.0,288026000000.0,279201000000.0,252708000000.0,258528000000.0,258246000000.0,236792000000.0,236746000000.0,258384000000.0,318083000000.0,369215000000.0,385715000000.0,408260000000.0,470922000000.0,517328000000.0,483254000000.0,481421000000.0,523330000000.0,496153000000.0,521791000000.0,535390000000.0,462336000000.0,476063000000.0,502765000000.0,543299000000.0,535866000000.0,526264000000.0,600749000000.0,583436000000.0,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.4,235668220.5,236434954.0,253927697.3,269819005.9,289908680.4,302925235.2,306221953.1,326323105.3,330748244.5,333627713.5,335073027.5,410331857.0,504376074.2,554654860.7,676870140.3,698408261.9,750049778.8,928843469.4,1186231020.0,1405251847.0,1291120188.0,1267778670.0,1095348199.0,1051134009.0,1045712789.0,1336102025.0,1562412228.0,1620246084.0,1502294416.0,1959965330.0,1986437797.0,1695315306.0,2274558083.0,1598075944.0,2169627138.0,2361116449.0,2268301646.0,2455092686.0,3677393999.0,3519991440.0,3666222635.0,4194342686.0,5349258094.0,6190270380.0,6567654954.0,7034111315.0,8169048383.0,9787734526.0,9738626517.0,9535345016.0,10693321364.0,11141358116.0,12517845124.0,13284527847.0,11388160997.0,11821065852.0,12701655846.0,14262408080.0,14390708757.0,15686741894.0,17687623535.0,17396792700.0,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.8,350247234.3,379567099.2,394040667.1,410321645.0,422916789.7,433889766.2,450753923.5,460442689.4,478298645.4,458404268.8,482411179.1,578595522.0,674773569.9,751133430.4,939972703.5,976547188.1,1131224878.0,1475583645.0,1748480621.0,1928719888.0,1775842334.0,1754450096.0,1600278605.0,1459880132.0,1552493196.0,2036303358.0,2369834950.0,2616040479.0,2615587734.0,3101300779.0,3135045584.0,3356692505.0,3199536465.0,1895290637.0,2379517975.0,2586550595.0,2447669102.0,2804902367.0,3389566713.0,2968370088.0,3190371081.0,3622350063.0,4740768143.0,5451688538.0,6146353173.0,6547419820.0,7625722837.0,9451435490.0,9450696873.0,10109619741.0,12080295978.0,12561015157.0,13444300486.0,13943016077.0,11832159316.0,12833363045.0,14106955615.0,15890066221.0,16032813502.0,17725010531.0,19642668880.0,18820064798.0,
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274894083.0,4817580375.0,5081413542.0,5319458563.0,5386054833.0,5906636792.0,6439687854.0,7253575688.0,7483685771.0,8471006438.0,8992722167.0,8751843188.0,6288245867.0,8086725729.0,12512460520.0,19448348073.0,10117113333.0,9651149302.0,13281767143.0,15565480322.0,18138049096.0,20249694002.0,18525399202.0,17609048822.0,18920840000.0,22278423077.0,21774033333.0,24298032258.0,26579005558.0,28781715189.0,31598340778.0,30957483950.0,31708874594.0,33166519418.0,33768660883.0,37939748769.0,46438484108.0,48244309133.0,49984559471.0,51270569884.0,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69442943089.0,71819083684.0,79611888213.0,91631278239.0,102478000000.0,115279000000.0,128638000000.0,133356000000.0,149991000000.0,172885000000.0,195079000000.0,265236000000.0,293755000000.0,321379000000.0,351238000000.0,373902000000.0,416265000000.0,460201000000.0,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769.0,19870000000.0,19342000000.0,16563666667.0,17594944444.0,17155421053.0,20249294118.0,28101000000.0,22555941176.0,21988444444.0,20632090909.0,10943548387.0,10350515464.0,10832064942.0,9697416974.0,18991484420.0,12294964838.0,11316127379.0,15031055047.0,13627325461.0,13245990274.0,14183446026.0,16403043850.0,21144957990.0,26157743369.0,29868657858.0,34380536496.0,44432811756.0,54480684188.0,52023801230.0,50760929303.0,57737040780.0,54288135059.0,55852123990.0,57157782910.0,50811995689.0,53964253212.0,59309748166.0,66370132238.0,68881010246.0,70368758395.0,84041493016.0,90346169915.0,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698328.0,3467819149.0,3645744681.0,3735106383.0,3905585106.0,3651861702.0,3052393617.0,3392021011.0,3702393617.0,3863563830.0,4229787234.0,4616223404.0,4751063830.0,5200265957.0,5567553457.0,5849467819.0,6101861436.0,6349202394.0,6183776596.0,6621010372.0,9062898936.0,8976196809.0,9593510638.0,11074813830.0,13150159574.0,15968723404.0,18504760638.0,21730000000.0,25710904255.0,22938218085.0,25713271277.0,28776595745.0,30749308511.0,32539468085.0,33387712766.0,31050638298.0,32234973404.0,35473776596.0,37802005319.0,38653318085.0,34621807713.0,39288670213.0,44383297872.0,
