Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Angola,AGO,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,14.19999981,13.39999962,13.60000038,16.0,20.89999962,33.20000076,20.79999924,46.20000076,25.10000038,33.20000076,24.79999924,25.60000038,26.89999962,51.59999847,39.90000153,41.5,41.5,28.79999924,55.5,58.29999924,62.20000076,41.5,38.0,51.79999924,60.611,50.818,51.298,56.455,63.692,68.112,80.997,72.888,70.934,64.323,47.908,50.973,70.977,70.431,65.517,46.043,43.940435,67.32035,78.15964,68.04358,28.89977,31.03638,31.423221042451686
Antigua and Barbuda,ATG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.215,0.221,0.194,0.196,0.196,0.188,0.182,0.186,0.193,0.165,0.785,0.737832657,0.647650744,0.592524,0.591624,0.52654536,0.54918681,0.322269,0.29449121,0.180927311,0.14647836614256185,0.11858857366091297,0.09600905699099994
Argentina,ARG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,47.90000153,57.40000153,79.69999695,85.90000153,98.19999695,74.59999847,96.30000305,119.8000031,120.5,136.8000031,195.3999939,195.5,170.6999969,174.3000031,179.8000031,187.1000061,192.0,197.5,193.6000061,201.1999969,213.6000061,201.8999939,206.6999969,232.0,206.1999969,177.0,176.6000061,220.3000031,251.0,241.0,296.646,124.402,76.419,111.811,123.637,132.558,124.583,132.675,131.685,111.663,193.3012538,192.20126,180.1204601,268.7107679,261.60894,243.7725665,254.1814135,305.102,311.720805,280.283172,81.12423,88.267613,79.41728533370208
Armenia,ARM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.80000019,10.69999981,10.39999962,11.30000019,8.786,8.262,5.358,5.025,6.966,7.036,7.388,6.148,7.174,5.698,5.9795,4.4857,3.0115,0.999996,0.0,0.0,0.0,0.0,0.0,0.3265,0.11692,1.347896,4.2850295012557424
Aruba,ABW,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,234.6999969,230.6999969,220.1999969,266.6000061,315.2999878,326.5,354.2000122,376.1000061,459.8999939,528.2999878,516.5,556.4000244,576.0,624.9000244,734.0999756,814.7999878,859.2999878,990.7999878,1027.099976,1125.300049,1222.300049,1222.599976,1361.5,1525.800049,1645.5,1737.5,1833.699951,1953.800049,1904.400024,1693.0,1730.735,1678.089,1544.717,1355.351,1898.071,2444.586,2569.506,2348.084,2212.439,2769.286,2938.314378,2846.598798,2731.69798,1984.693734,1925.772009,1907.051909,1868.732628,1982.586171,2027.63711,1931.155531,1316.50942,1244.7647,1160.9398811888934
Austria,AUT,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.900000095,3.099999905,4.699999809,6.300000191,6.800000191,6.5,8.100000382,9.199999809,10.30000019,11.69999981,11.69999981,13.5,16.60000038,17.20000076,19.5,19.39999962,19.60000038,19.5,22.89999962,41.59999847,53.90000153,59.20000076,100.5999985,129.6000061,136.3999939,173.3000031,192.1000061,236.3000031,265.5,340.7999878,407.769,357.975,396.021,430.701,502.302,537.472,571.977,453.759,420.794,341.511,357.885,383.371,322.104,326.399,369.955,351.379,387.739,391.268,373.511,320.036527,74.560823,125.155714,118.44985180004348
Azerbaijan,AZE,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89999962,26.89999962,24.89999962,34.40000153,27.60000038,33.0,92.5,58.20000076,47.211,65.995,75.954,67.109,34.361,11.916,15.746,11.897,12.032,7.388,7.8084,9.5921,13.0443,17.9216,385.14865,686.94149,732.789755,61.6255,44.0886,1620.43791,2030.37809,3173.72377,3173.72377
"Bahamas, The",BHS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,1.600000024,1.899999976,1.899999976,2.099999905,3.0,3.0,3.5,0.200000003,0.300000012,0.200000003,0.200000003,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.400000006,0.400000006,0.400000006,0.400000006,0.5,1.100000024,1.5,1.598,1.764,1.637,1.644,0.59,0.571,0.561,0.568,0.586,0.489,0.073942936,0.092123115,0.120103571,0.145272,0.176256,0.17273088,0.17480365,0.173580024,0.0,0.0,0.0,0.0,0.0
Bahrain,BHR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,0.800000012,1.0,1.100000024,1.100000024,2.200000048,4.0,6.800000191,8.199999809,9.600000382,14.0,26.20000076,21.39999962,21.60000038,23.79999924,30.70000076,32.59999847,31.39999962,31.5,33.90000153,40.0,44.29999924,51.20000076,69.80000305,88.09999847,122.0999985,132.8000031,105.8000031,96.59999847,104.5,209.1000061,208.801,233.928,244.115,341.232,416.514,446.0774,475.6408,505.2042,534.7676,564.331,504.494,417.5829886,338.0710086,265.615452,258.367992,240.107004,387.3108131,390.39,420.98375,311.15413,191.96251,523.2992,564.331
